id,left,right,classification,eq_consistent,ne_consistent,promotion_eligible_from_this_input,disposition
REL001,d8-native-root,d8-position,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL002,d8-cover-root,d8-position,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL003,g-family-6,g60-native,FORCED_ALIAS_BY_FROZEN_INPUT,True,False,True,source_supported_alias
REL004,k120-common-cover,g60-native,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL005,q30-family,g30-original,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL006,g1800-family,g900-associated,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL007,g9000-registered,g1800-family,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL008,d5-face-kernel,face-stabilizer,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL009,face-stabilizer,d8-face-blocks,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL010,d5-face-kernel,d5-history,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL011,d8-selected-face-operators,d8-charge-center-locator,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL012,d8-selected-face-operators,d8-face-blocks,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL013,d8-surface-edges,d8-lifted-holonomy,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL014,d8-lifted-holonomy,d8-native-root,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL015,q8-lifted-holonomy,d8-lifted-holonomy,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL016,d8-history-factor,history-coset-image,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL017,v4-native,v4-fp-kernel,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL018,v4-native,v4-voltage,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL019,v4-native,v4-root-projective,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL020,c2-root-center,c2-native-double-deck,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL021,c2-history-extra,c2-history-kernel,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL022,c2-axis-central,c2-analyzer-sector,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL023,c2-threefold-deck,d8-native-root,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL024,s3-abstract-klein,c2-register-parity,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL025,s3-mode,c3-mode,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL026,s5-native-quotient,s5-six-axes,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL027,signed-axis-extension,s5-analyzer-sectors,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL028,x12-sections,x12-kernel,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL029,x12-kernel,twelve-pair-descriptors,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL030,twelve-face-phases,history-pentagon-space,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL031,face-crown,history-crown,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL032,frame-contrast,history-fivefold-contrast,OPEN_UNDER_ENCODED_CONSTRAINTS,True,True,False,open_comparison
REL033,frame-difference,frame-hermitian-current,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL034,frame-multiplier,frame-sector-exchange,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL035,frame-multiplier,u2-face-envelope,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL036,s1-residual-reflection,circle-space,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL037,s1-residual-reflection,r1-native-residual,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL038,r1-native-residual,r1-history-class,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL039,frame-sector-exchange,residue-spaces,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL040,cochain-coboundaries,face-disagreement,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL041,history-incidence,history-gram,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL042,history-gram,history-contrast,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
REL043,history-sheet-grading,history-sheet-exchange,SEPARATE_AT_RECORDED_VIEW_LEVEL,False,True,False,preserve_distinct_views
