lookup_key,occurrences,source_files,candidate_structure_ids,review_states
A0,29,8,anchor-circle-generators;binary-analyzer-local;fusion-adjacencies,"{""ambiguous"": 29}"
A1,30,8,anchor-circle-generators;binary-analyzer-local;fusion-adjacencies,"{""ambiguous"": 30}"
a1,2,1,wxyz-a-variables,"{""single-candidate"": 2}"
A15,6,4,adjacency-g15,"{""single-candidate"": 6}"
A15^2,1,1,power-expression,"{""derived-notation"": 1}"
A15^3,4,4,power-expression,"{""derived-notation"": 4}"
A2,9,7,fusion-adjacencies;source-path-fragments,"{""explicit-metadata"": 7, ""single-candidate"": 2}"
a2,1,1,wxyz-a-variables,"{""single-candidate"": 1}"
A3,8,7,a3-mode-subgroup;a3-root-target;fusion-adjacencies;source-path-fragments,"{""explicit-metadata"": 3, ""ambiguous"": 5}"
A4,8,4,a4-kernel-color,"{""single-candidate"": 8}"
A5,21,14,a5-axis-base,"{""single-candidate"": 21}"
a5,8,3,source-path-fragments,"{""explicit-metadata"": 4, ""single-candidate"": 4}"
A60,2,1,adjacency-g60,"{""single-candidate"": 2}"
a^2,4,4,power-expression,"{""superscript-review"": 4}"
B0,6,2,binary-analyzer-local,"{""single-candidate"": 6}"
B1,8,3,binary-analyzer-local;causal-golden-b,"{""ambiguous"": 8}"
b1,1,1,b1-betti,"{""single-candidate"": 1}"
B1^2,1,1,power-expression,"{""derived-notation"": 1}"
B2,2,1,causal-golden-b,"{""single-candidate"": 2}"
B2^2,1,1,power-expression,"{""derived-notation"": 1}"
b^2,4,4,power-expression,"{""superscript-review"": 4}"
C0,1,1,chain-groups,"{""single-candidate"": 1}"
C1,1,1,chain-groups,"{""single-candidate"": 1}"
C10,4,3,c10-native,"{""single-candidate"": 4}"
C107,1,1,source-audit-codes,"{""explicit-metadata"": 1}"
C2,106,41,c2-analyzer-sector;c2-axis-central;c2-cover-extra;c2-history-extra;c2-history-kernel;c2-history-word;c2-native-double-deck;c2-phase-residual;c2-register-parity;c2-root-center;chain-groups;complex-spaces,"{""ambiguous"": 106}"
C20,12,5,c20-registered,"{""single-candidate"": 12}"
C2^3,10,6,c2-threefold-deck,"{""single-candidate"": 10}"
C3,30,15,c3-kernel;c3-mode;c3-section,"{""ambiguous"": 30}"
c3,1,1,source-path-fragments,"{""single-candidate"": 1}"
C4,26,16,c4-crown-loop;c4-face-complex;c4-g1800;c4-history-companion;c4-native-exchange;census-c4;complex-spaces,"{""ambiguous"": 26}"
c4,23,11,source-path-fragments,"{""explicit-metadata"": 23}"
c412038,1,1,source-path-fragments,"{""explicit-metadata"": 1}"
c4306,1,1,source-path-fragments,"{""explicit-metadata"": 1}"
c46011,1,1,source-path-fragments,"{""explicit-metadata"": 1}"
c46013,1,1,source-path-fragments,"{""explicit-metadata"": 1}"
c46017,1,1,source-path-fragments,"{""explicit-metadata"": 1}"
C5,51,9,c5-analyzer;c5-frame;c5-history,"{""ambiguous"": 51}"
c5,5,2,source-path-fragments,"{""single-candidate"": 5}"
C6,1,1,c6-cycle-graph;complex-spaces;wxyz-six-position,"{""ambiguous"": 1}"
C^0,1,1,cochain-spaces,"{""superscript-review"": 1}"
C^1,1,1,cochain-spaces,"{""superscript-review"": 1}"
C^2,10,6,cochain-spaces;complex-spaces,"{""superscript-review"": 10}"
c^2,4,2,power-expression,"{""derived-notation"": 4}"
C^3,2,2,cochain-spaces,"{""superscript-review"": 2}"
c^3,4,1,power-expression,"{""derived-notation"": 4}"
CP1,2,1,cp1-line-space,"{""single-candidate"": 2}"
D0,8,3,cochain-coboundaries,"{""single-candidate"": 8}"
d0,2,2,d0-section-sign,"{""single-candidate"": 2}"
D1,8,3,cochain-coboundaries,"{""single-candidate"": 8}"
d1,2,1,d1-tick-depth,"{""single-candidate"": 2}"
D10,3,1,d10-decagon,"{""single-candidate"": 3}"
D2,9,4,cochain-coboundaries;face-disagreement,"{""ambiguous"": 9}"
d4,1,1,d34-move-labels,"{""single-candidate"": 1}"
D5,119,18,d5-face-kernel;d5-history;frame-difference,"{""ambiguous"": 119}"
d5,11,8,source-path-fragments,"{""explicit-metadata"": 9, ""single-candidate"": 2}"
D6,292,2,source-draft-codes,"{""explicit-metadata"": 286, ""source-locator-candidate"": 6}"
d6,288,2,source-draft-codes,"{""explicit-metadata"": 286, ""source-locator-candidate"": 2}"
D8,88,29,d8-charge-center-locator;d8-cover-root;d8-face-blocks;d8-fiber-product;d8-history-factor;d8-lifted-holonomy;d8-native-root;d8-position;d8-section-square;d8-selected-face-operators;d8-surface-edges;history-coset-image,"{""ambiguous"": 88}"
d8,970,2,d8-fiber-product;source-path-fragments,"{""explicit-metadata"": 1, ""single-candidate"": 969}"
E00,1,1,correlation-entries,"{""single-candidate"": 1}"
E01,7,7,correlation-entries;source-equation-codes,"{""explicit-metadata"": 6, ""single-candidate"": 1}"
E02,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E03,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E04,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E05,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E06,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E07,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E08,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E09,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E1,6,3,event-index-family;frame-character-blocks,"{""ambiguous"": 6}"
e1,11,8,basis-vector-family;event-index-family,"{""ambiguous"": 11}"
E10,7,7,correlation-entries;source-equation-codes,"{""explicit-metadata"": 6, ""single-candidate"": 1}"
E11,7,7,correlation-entries;source-equation-codes,"{""explicit-metadata"": 6, ""single-candidate"": 1}"
E12,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E13,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E14,7,6,source-equation-codes,"{""explicit-metadata"": 7}"
E15,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E16,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E17,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E18,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E19,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E2,39,10,e2-face-plane;event-index-family;frame-character-blocks,"{""ambiguous"": 39}"
e2,6,4,basis-vector-family;event-index-family,"{""ambiguous"": 6}"
E20,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E21,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E22,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
